Dates;age_group;InfectadosNoVacunados;InfectadosPrimeraDosis;InfectadosEsquemaCompleto;InfectadosDosisRefuerzo;InfectadosTotal;HospitalizadosNoVacunados;HospitalizadosPrimeraDosis;HospitalizadosEsquemaCompleto;HospitalizadosDosisRefuerzo;HospitalizadosTotal;MuertesNoVacunados;MuertesPrimeraDosis;MuertesEsquemaCompleto;MuertesDosisRefuerzo;MuertesTotal
16/03/2020;40-49;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
16/03/2020;50-59;2;0;0;0;2;2;0;0;0;2;1;0;0;0;1
16/03/2020;60-69;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0
16/03/2020;70-80+;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0
17/03/2020;0-19;3;0;0;0;3;0;0;0;0;0;0;0;0;0;0
17/03/2020;20-39;8;0;0;0;8;0;0;0;0;0;0;0;0;0;0
17/03/2020;40-49;7;0;0;0;7;1;0;0;0;1;0;0;0;0;0
17/03/2020;50-59;7;0;0;0;7;0;0;0;0;0;0;0;0;0;0
17/03/2020;60-69;0;0;0;0;0;3;0;0;0;3;0;0;0;0;0
17/03/2020;70-80+;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
18/03/2020;0-19;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0
18/03/2020;20-39;6;0;0;0;6;3;0;0;0;3;0;0;0;0;0
18/03/2020;40-49;0;0;0;0;0;3;0;0;0;3;0;0;0;0;0
18/03/2020;50-59;2;0;0;0;2;1;0;0;0;1;0;0;0;0;0
18/03/2020;60-69;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
18/03/2020;70-80+;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0
19/03/2020;0-19;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
19/03/2020;20-39;10;0;0;0;10;3;0;0;0;3;0;0;0;0;0
19/03/2020;40-49;6;0;0;0;6;3;0;0;0;3;0;0;0;0;0
19/03/2020;50-59;6;0;0;0;6;4;0;0;0;4;0;0;0;0;0
19/03/2020;60-69;3;0;0;0;3;2;0;0;0;2;0;0;0;0;0
19/03/2020;70-80+;1;0;0;0;1;2;0;0;0;2;0;0;0;0;0
20/03/2020;0-19;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0
20/03/2020;20-39;25;0;0;0;25;4;0;0;0;4;0;0;0;0;0
20/03/2020;40-49;10;0;0;0;10;6;0;0;0;6;0;0;0;0;0
20/03/2020;50-59;5;0;0;0;5;4;0;0;0;4;0;0;0;0;0
20/03/2020;60-69;4;0;0;0;4;0;0;0;0;0;0;0;0;0;0
20/03/2020;70-80+;3;0;0;0;3;1;0;0;0;1;0;0;0;0;0
21/03/2020;0-19;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0
21/03/2020;20-39;13;0;0;0;13;1;0;0;0;1;0;0;0;0;0
21/03/2020;40-49;5;0;0;0;5;1;0;0;0;1;0;0;0;0;0
21/03/2020;50-59;7;0;0;0;7;1;0;0;0;1;0;0;0;0;0
21/03/2020;60-69;5;0;0;0;5;5;0;0;0;5;0;0;0;0;0
21/03/2020;70-80+;3;0;0;0;3;6;0;0;0;6;0;0;0;0;0
22/03/2020;0-19;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
22/03/2020;20-39;11;0;0;0;11;3;0;0;0;3;0;0;0;0;0
22/03/2020;40-49;8;0;0;0;8;4;0;0;0;4;0;0;0;0;0
22/03/2020;50-59;6;0;0;0;6;2;0;0;0;2;0;0;0;0;0
22/03/2020;60-69;2;0;0;0;2;2;0;0;0;2;0;0;0;0;0
22/03/2020;70-80+;1;0;0;0;1;7;0;0;0;7;2;0;0;0;2
23/03/2020;0-19;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0
23/03/2020;20-39;34;0;0;0;34;6;0;0;0;6;0;0;0;0;0
23/03/2020;40-49;12;0;0;0;12;2;0;0;0;2;0;0;0;0;0
23/03/2020;50-59;13;0;0;0;13;6;0;0;0;6;0;0;0;0;0
