"x","y","ymin","ymax","se","flipped_aes","PANEL","group","colour","fill","linewidth","linetype","weight","alpha"
0.81,153.077202398954,133.141950455576,173.012454342331,9.60912975439457,FALSE,"1",-1,"#3366FF","grey60",1,1,1,0.4
0.837873417721519,153.71666424877,135.828759954569,171.604568542971,8.62227344231119,FALSE,"1",-1,"#3366FF","grey60",1,1,1,0.4
0.865746835443038,154.274442924243,138.258746671965,170.290139176522,7.71983739318817,FALSE,"1",-1,"#3366FF","grey60",1,1,1,0.4
0.893620253164557,154.710969525733,140.361733960445,169.060205091022,6.91657506084501,FALSE,"1",-1,"#3366FF","grey60",1,1,1,0.4
0.921493670886076,155.043439750602,142.133921035581,167.952958465623,6.22260710583256,FALSE,"1",-1,"#3366FF","grey60",1,1,1,0.4
0.949367088607595,155.288049556344,143.561990742781,167.014108369906,5.65215934903763,FALSE,"1",-1,"#3366FF","grey60",1,1,1,0.4
0.977240506329114,155.450179002728,144.617731613438,166.282626392019,5.2214234772149,FALSE,"1",-1,"#3366FF","grey60",1,1,1,0.4
1.00511392405063,155.528325648111,145.272845597687,165.783805698535,4.9433154282692,FALSE,"1",-1,"#3366FF","grey60",1,1,1,0.4
1.03298734177215,155.520987050847,145.51837469208,165.523599409614,4.82142890951671,FALSE,"1",-1,"#3366FF","grey60",1,1,1,0.4
1.06086075949367,155.416441757667,145.364188295928,165.468695219406,4.84535676359987,FALSE,"1",-1,"#3366FF","grey60",1,1,1,0.4
1.08873417721519,155.206528596755,144.849088518444,165.563968675067,4.99246189205672,FALSE,"1",-1,"#3366FF","grey60",1,1,1,0.4
1.11660759493671,154.924433008662,144.05774794583,165.791118071493,5.23792661690318,FALSE,"1",-1,"#3366FF","grey60",1,1,1,0.4
1.14448101265823,154.563100912217,143.040770611621,166.085431212812,5.55395874834655,FALSE,"1",-1,"#3366FF","grey60",1,1,1,0.4
1.17235443037975,154.128655686411,141.853542528956,166.403768843866,5.91681286069943,FALSE,"1",-1,"#3366FF","grey60",1,1,1,0.4
1.20022784810127,153.575432300461,140.495656231189,166.655208369734,6.30467403998959,FALSE,"1",-1,"#3366FF","grey60",1,1,1,0.4
1.22810126582278,152.94207504119,139.029554030499,166.854596051881,6.70607123412251,FALSE,"1",-1,"#3366FF","grey60",1,1,1,0.4
1.2559746835443,152.285294181311,137.529084592254,167.041503770368,7.11274344698689,FALSE,"1",-1,"#3366FF","grey60",1,1,1,0.4
1.28384810126582,151.623106570581,136.063599526952,167.18261361421,7.49994645271147,FALSE,"1",-1,"#3366FF","grey60",1,1,1,0.4
1.31172151898734,150.941047635777,134.655800538443,167.226294733112,7.84976547500553,FALSE,"1",-1,"#3366FF","grey60",1,1,1,0.4
1.33959493670886,150.23726446254,133.30639230155,167.16813662353,8.16096771247813,FALSE,"1",-1,"#3366FF","grey60",1,1,1,0.4
1.36746835443038,149.509904136509,132.011731071559,167.00807720146,8.43441637575196,FALSE,"1",-1,"#3366FF","grey60",1,1,1,0.4
1.3953417721519,148.757113743325,130.76524071981,166.74898676684,8.67238813427593,FALSE,"1",-1,"#3366FF","grey60",1,1,1,0.4
1.42321518987342,147.977040368626,129.558331272444,166.395749464809,8.87813036506206,FALSE,"1",-1,"#3366FF","grey60",1,1,1,0.4
1.45108860759494,147.167831098054,128.381023062185,165.954639133923,9.05556030093408,FALSE,"1",-1,"#3366FF","grey60",1,1,1,0.4
1.47896202531646,146.327633017247,127.222398759415,165.432867275079,9.20904714387624,FALSE,"1",-1,"#3366FF","grey60",1,1,1,0.4
1.50683544303797,145.454593211846,126.070957866809,164.838228556883,9.3432411926053,FALSE,"1",-1,"#3366FF","grey60",1,1,1,0.4
1.53470886075949,144.546858767491,124.914919555598,164.178797979385,9.4629278703517,FALSE,"1",-1,"#3366FF","grey60",1,1,1,0.4
1.56258227848101,143.602576769822,123.742501504914,163.462652034729,9.57289331956183,FALSE,"1",-1,"#3366FF","grey60",1,1,1,0.4
1.59045569620253,142.619894304478,122.542189846667,162.697598762288,9.67779428388809,FALSE,"1",-1,"#3366FF","grey60",1,1,1,0.4
1.61832911392405,141.596958457099,121.303005822153,161.890911092045,9.78202957517765,FALSE,"1",-1,"#3366FF","grey60",1,1,1,0.4
1.64620253164557,140.531916313326,120.014767138419,161.049065488232,9.8896140952679,FALSE,"1",-1,"#3366FF","grey60",1,1,1,0.4
1.67407594936709,139.422914958797,118.668336006004,160.177493911591,10.0040592775889,FALSE,"1",-1,"#3366FF","grey60",1,1,1,0.4
1.70194936708861,138.268101479154,117.25584173353,159.280361224778,10.128265792789,FALSE,"1",-1,"#3366FF","grey60",1,1,1,0.4
1.72982278481013,137.065622960036,115.7708640405,158.360381879572,10.2644351888589,FALSE,"1",-1,"#3366FF","grey60",1,1,1,0.4
1.75769620253165,135.813626487083,114.208564265409,157.418688708756,10.4140066465926,FALSE,"1",-1,"#3366FF","grey60",1,1,1,0.4
1.78556962025316,134.510259145934,112.565755282368,156.4547630095,10.5776232785894,FALSE,"1",-1,"#3366FF","grey60",1,1,1,0.4
1.81344303797468,133.15366802223,110.840906511021,155.466429533439,10.7551297143897,FALSE,"1",-1,"#3366FF","grey60",1,1,1,0.4
1.8413164556962,131.742000201611,109.03408675856,154.449913644661,10.9455996515921,FALSE,"1",-1,"#3366FF","grey60",1,1,1,0.4
1.86918987341772,130.273402769716,107.146853455588,153.399952083843,11.1473892460474,FALSE,"1",-1,"#3366FF","grey60",1,1,1,0.4
